"","ID","YI","Haze","Step","peak1250","peak1700","peak2900","peak3350","Product.Name","Exposure","Dose"
"18","sa22073.01",1.3,7.5,1,0.269309092199625,0.895733928079732,0.144044014034007,0.0457835469484977,"9006-TPU","1x",101.54592
"19","sa22070.01",2.19,7.2,1,0.0631831739097775,0.207081973021976,0.0208285686969438,0.0107109889969975,"9006-PET","1x",101.54592
"20","sa22089.06",1.43,9.1,1,0.380191156978587,0.688410632284077,0.281440804689346,0.0832902372648699,"TPU","1x",101.54592
"21","sa22087.06",2.22,6.6,1,0.311463833672492,0.31710152610812,0.0114652869974854,0.0101798076062181,"PET","1x",101.54592
"22","sa22085.01",0.89,9.4,1,0.233284624824583,0.759647314780925,0.138303223743453,0.0487450745702323,"9025-TPU","1x",101.54592
"23","sa22081.01",2.1,6.7,1,0.0882983176181922,0.173768736064806,0.0274321965549835,0.0100477936722531,"9025-PET","1x",101.54592
"24","sa22079.05",1.35,9.7,1,0.313257441672859,0.835907318973918,0.135464122115327,0.0591083737697212,"9013-TPU","5x",NA
"25","sa22076.05",1.99,4.3,1,0.071472982496125,0.150468637174041,0.0228498715362283,0.0108957854671743,"9013-PET","5x",NA
"26","sa22073.05",1.32,7.9,1,0.262403330327726,0.873604499180044,0.0959462442746358,0.0377392324467662,"9006-TPU","5x",NA
"27","sa22070.05",2.11,6.4,1,0.0404688178206533,0.125206041969153,0.0161888524093582,0.0101487417129246,"9006-PET","5x",NA
"28","sa22089.10",1.46,9,1,0.377104028133689,0.675934543091031,0.283199791311183,0.0839955844368432,"TPU","5x",NA
"29","sa22087.10",2.16,3.5,1,0.201960362594578,0.193098757309628,0.00734236552653559,0.0082427501019764,"PET","5x",NA
"30","sa22085.05",1.26,8.2,1,0.220024485959927,0.683319156958791,0.126062716615458,0.0418065433390116,"9025-TPU","5x",NA
"31","sa22082.00",2.14,9.6,1,0.0659166941480647,0.142755807758566,0.0244679556508742,0.0106435545630077,"9025-PET","5x",NA
"32","sa22086.01",3.37,1.2,1,0.202886861521076,0.273033769506831,0.0162985181134658,0.00916351363771219,"PET","mASTMG154",213.1096
"33","sa22083.01",1.74,1.9,1,0.26596993187326,0.705217662690862,0.187307204359763,0.0527058662479949,"9025-TPU","mASTMG154",213.1096
"34","sa22080.01",3.12,1.6,1,0.094755871829323,0.20951550586729,0.023862530866441,0.0122274324924859,"9025-PET","mASTMG154",213.1096
"35","sa22074.01",3.42,1.4,1,0.0591907436372829,0.19982892061085,0.0209632993294747,0.0111805755969444,"9013-PET","mASTMG154",213.1096
"36","sa22071.01",1.37,2.9,1,0.270412734589019,0.791305807346383,0.159592737194648,0.0458651252754464,"9006-TPU","mASTMG154",213.1096
"37","sa22068.01",3.32,1.9,1,0.0484591965009684,0.181925333247306,0.0182868904067327,0.00819871034505947,"9006-PET","mASTMG154",213.1096
"38","sa22088.06",2.42,43.9,1,0.412931061378839,0.707697849230459,0.301197167324727,0.0840874213879054,"TPU","ASTMG154",142.8009
"39","sa22086.06",3.27,42.5,1,0.380107583330988,0.435586664488402,0.0144654049962939,0.00703735450407675,"PET","ASTMG154",142.8009
"40","sa22083.06",1.23,11.6,1,0.244214867985073,0.68383310238263,0.178409644948938,0.0549181961491444,"9025-TPU","ASTMG154",142.8009
"41","sa22080.06",2.77,6.8,1,0.0726816731132192,0.143815482856497,0.0152632563225266,0.00780650365056285,"9025-PET","ASTMG154",142.8009
"42","sa22077.06",1.53,12.1,1,0.220640122500321,0.783103624721131,0.119279073178304,0.053446776700806,"9013-TPU","ASTMG154",142.8009
"43","sa22074.06",2.25,2,1,0.0618914272296614,0.184329903763332,0.0201828477094397,0.00954596087672921,"9013-PET","ASTMG154",142.8009
"44","sa22071.06",1.07,7.8,1,0.399719574064824,0.716168273441537,0.299556137316453,0.08279349286378,"9006-TPU","ASTMG154",142.8009
"45","sa22068.06",2.77,5.9,1,0.0470266800484562,0.150139062806483,0.0230534951044929,0.00933212690072469,"9006-PET","ASTMG154",142.8009
"46","sa22089.01",0.59,3.1,1,0.415681538318165,0.703921006330703,0.308042305392024,0.0839056349317878,"TPU","ASTMG155",101.88852
