Sample,Product,Exposure,Step_Retained
sa25006.39,A-Melinex618,DampHeat1,5
sa25006.40,A-Melinex618,DampHeat1,6
sa25006.41,A-Melinex618,DampHeat1,7
sa25006.42,A-Melinex618,DampHeat1,8
sa25006.43,A-Melinex618,DampHeat1,9
sa25006.44,A-Melinex618,DampHeat1,10
sa25006.45,A-Melinex618,,
sa25006.46,A-Melinex618,,
sa25006.47,A-Melinex618,,
sa25006.48,A-Melinex618,,
sa25006.49,A-Melinex618,,
sa25007.01,A-Melinex618,HumidityFreeze,1
sa25007.02,A-Melinex618,HumidityFreeze,2
sa25007.03,A-Melinex618,HumidityFreeze,3
sa25007.04,A-Melinex618,HumidityFreeze,4
sa25007.05,A-Melinex618,HumidityFreeze,5
sa25007.06,A-Melinex618,HumidityFreeze,6
sa25007.07,A-Melinex618,HumidityFreeze,7
sa25007.08,A-Melinex618,HumidityFreeze,8
sa25007.09,A-Melinex618,HumidityFreeze,9
sa25007.10,A-Melinex618,HumidityFreeze,10
sa25007.11,A-Melinex618,Multifactor,1
sa25007.12,A-Melinex618,Multifactor,2
sa25007.13,A-Melinex618,Multifactor,3
sa25007.14,A-Melinex618,Multifactor,4
sa25007.15,A-Melinex618,Multifactor,5
sa25007.16,A-Melinex618,Multifactor,6
sa25007.17,A-Melinex618,Multifactor,7
sa25007.18,A-Melinex618,Multifactor,8
sa25007.19,A-Melinex618,Multifactor,9
sa25007.20,A-Melinex618,Multifactor,10
sa25007.21,A-Melinex618,,
sa25007.22,A-Melinex618,,
sa25007.23,A-Melinex618,,
sa25007.24,A-Melinex618,,
sa25007.25,A-Melinex618,,
sa25008.01,B-TeteronU2,1x-RW,1
sa25008.02,B-TeteronU2,1x-RW,2
sa25008.03,B-TeteronU2,1x-RW,3
sa25008.04,B-TeteronU2,1x-RW,4
sa25008.05,B-TeteronU2,1x-RW,5
sa25008.06,B-TeteronU2,1x-RW,6
sa25008.07,B-TeteronU2,1x-RW,7
sa25008.08,B-TeteronU2,4x-RW,1
sa25008.09,B-TeteronU2,4x-RW,2
sa25008.10,B-TeteronU2,4x-RW,3
sa25008.11,B-TeteronU2,4x-RW,4
sa25008.12,B-TeteronU2,4x-RW,5
sa25008.13,B-TeteronU2,4x-RW,6
sa25008.14,B-TeteronU2,4x-RW,7
sa25008.15,B-TeteronU2,HotQUV,1
sa25008.16,B-TeteronU2,HotQUV,2
sa25008.17,B-TeteronU2,HotQUV,3
sa25008.18,B-TeteronU2,HotQUV,4
sa25008.19,B-TeteronU2,HotQUV,5
sa25008.20,B-TeteronU2,HotQUV,6
sa25008.21,B-TeteronU2,HotQUV,7
sa25008.22,B-TeteronU2,HotQUV,8
